Doctor Who season,doctor actor,ep. no,episode title,from ,to,estimated?,planet,sub location,location,notes,source,,,,,,,
2,Troughton,41,The Web Of Fear,1970,1970,y,Earth,UK,London,"early 1970s (same time, no trips)
40 years after Abominable Snowmen","http://tardis.wikia.com/wiki/The_Web_of_Fear
http://en.wikipedia.org/wiki/Chronology_of_the_Doctor_Who_universe",,,,,,,
2,Troughton,42,Fury From The Deep,1967,1967,y,Earth,UK,North Sea,"The story takes place when North Sea gas is being supplied to England, which commenced in 1967, but before decimalisation in the UK","http://tardis.wikia.com/wiki/Fury_from_the_Deep
http://en.wikipedia.org/wiki/Chronology_of_the_Doctor_Who_universe",,,,,,,
2,Troughton,43,The Wheel In Space,2000,2000,y,space,"Silver Carrier spaceship, Space Station W3",,"21st century, same time, no trips",http://tardis.wikia.com/wiki/The_Wheel_in_Space,,,,,,,
SEASON 6,,,,,,,,,,,,,,,,,,
2,Troughton,45,The Mind Robber,1968,1926,,,,"""the land of fiction""",The Dr goes into 'An endless void' ,http://tardis.wikia.com/wiki/The_Mind_Robber,,,,,,,
2,Troughton,46,The Invasion,2000,1970,y,Earth,UK,Just outside London,21st century - 1070s,http://tardis.wikia.com/wiki/The_Invasion,,,,,,,
2,Troughton,48,The Seeds Of Death,1969,2190,y,Earth,UK,"space museum, London; the moon",late 21st century',http://tardis.wikia.com/wiki/The_Seeds_of_Death,,,,,,,
2,Troughton,59,The War Games,1969,1900,n,Earth,,,ONLY THE DR sentanced to exile on earth in the 20th century,http://tardis.wikia.com/wiki/The_War_Games,,,,,,,
2,Troughton,60,The War Games,1969,2000,n,space,space station off earth,The wheel, ONLY ZOE sent home by time lords,http://tardis.wikia.com/wiki/The_Wheel_in_Space,,,,,,,
2,Troughton,61,The War Games,1969,1746,n,Earth,Scotland,battle of Culloden,ONLY JAMIE sent home by time lords,http://tardis.wikia.com/wiki/Jamie,,,,,,,
season 7,,,,,,,,,,,,,,,,,,
3,Pertwee,51,Spearhead from Space,1970,1990,y,Earth,England,London and other,late 20th Century,,,,,,,,
,,,,,,,,,,,,,,,,,,
season 8,,,,,,,,,,,,,,,,,,
3,Pertwee,55,Terror of the Autons,1971,1971,y,Earth,England,Luigi Rossini's Circus, 'circa 1970s' or 'present day' - was broadcast 1971,http://tardis.wikia.com/wiki/Season_8,,,,,,,
3,Pertwee,58,Colony in Space,1971,2472,,planet Uxarieus,,,"3rd & 4th March, 2472",http://tardis.wikia.com/wiki/Season_8,,,,,,,
3,Pertwee,59,The Daemons,1971,1971,y,Earth,England,"Devil's End, Wiltshire",,http://tardis.wikia.com/wiki/Season_8,,,,,,,
,,,,,,,,,,,,,,,,,,
season 9,,,,,,,,,,,,,,,,,,
3,Pertwee,60,Day of the Daleks,1972,2100,,Earth,England,Auderly House and environs,,http://tardis.wikia.com/wiki/Season_9,,,,,,,
3,Pertwee,63,The Mutants,1972,2900,,Solos,,,,http://tardis.wikia.com/wiki/Season_9,,,,,,,
3,Pertwee,64,The Time Monster,1972,-2000,,Earth/ Atlantis,,, 'ancient' Atlantis. Krasis is brought forward in time from 2000 BC,http://tardis.wikia.com/wiki/Krasis,,,,,,,
3,Pertwee,64,The Time Monster,-2000,1972,,Earth/ Atlantis,,,,http://tardis.wikia.com/wiki/Krasis,,,,,,,
,,,,,,,,,,,,,,,,,,
season 10,,,,,,,,,,,,,,,,,,
3,Pertwee,66,Carnival of Monsters,1972,1928,n,"Indian Ocean, Planet Inter Minor","Ocean, alien planet",,"Actually inside a simulation of 1928. 1970s
",http://tardis.wikia.com/wiki/Carnival_of_Monsters,,,,,,,
3,Pertwee,67,Frontier in Space,1972,2540,n,"Planet Draconia, Orgon Planet",alien planets,,early 1970s,http://tardis.wikia.com/wiki/Frontier_in_Space,,,,,,,
3,Pertwee,68,Planet of the Daleks,1972,2540,y,Planet Spiridon,Alien Planet,,,http://tardis.wikia.com/wiki/Planet_of_the_Daleks,,,,,,,
3,Pertwee,69,The Green Death,2540,1973,y,Earth,UK,"Llanfairfach, Wales",,http://tardis.wikia.com/wiki/The_Green_Death,,,,,,,
,,,,,,,,,,,,,,,,,,
season 11,,,,,,,,,,,,,,,,,,
3,Pertwee,70,The Time Warrior,1973,1200,n,Earth,UK,Wessex Castle,"""13th century""",http://tardis.wikia.com/wiki/The_Time_Warrior,,,,,,,
3,Pertwee,71,Invasion of The Dinosaurs,1200,1974,y,Earth,UK,London,,http://tardis.wikia.com/wiki/Invasion_of_the_Dinosaurs,,,,,,,
season 12,,,,,,,,,,,,,,,,,,
4,Baker,76,The Ark in Space,42000,42000,,space,"Space station Nerva, orbiting Earth",,"Dating based on the Doctor's estimate of ""early 30th century"" + the 10,000 years that the crew has been in hibernation.",,,,,,,,
4,Baker,79,Revenge of the Cybermen,28000,28000,,space,"Earth orbit (Beacon Nerva, asteroid Voga)",,"Long enough before the events of 076 that the same space facility is being used for an entirely different purpose. Stated as being ""thousand of years beforehand"" the events of Episode 076.",,,,,,,,
season 13,,,,,,,,,,,,,,,,,,
